Source,Target,Weight
A,ACM,0.36660841319067455
A,ADI,0.35357315845763276
A,AGCO,0.3398694292230581
A,AGNC,0.42587765911831466
A,AIV,0.3917147265291197
A,AL,0.3311413738571677
A,ALEX,0.31837263456323034
A,AMP,0.3363159441857759
A,AMT,0.34613224600698855
A,APH,0.3930135641108935
A,ARE,0.4276068225544362
A,AVB,0.414811993570406
A,AVY,0.414146343366843
A,AWAY,0.34594461355626616
A,AWK,0.3485374623276174
A,BAC,0.3695768116734722
A,BAX,0.36971219879308187
A,BEN,0.4143651359536068
A,BIIB,0.3518937412338845
A,BIO,0.507158104876243
A,BKU,0.3381039756683825
A,BLK,0.40390224353982934
A,BOKF,0.36505166897259095
A,BPOP,0.33053867523507047
A,BRKR,0.6218490629743288
A,BXP,0.37596495624051596
A,CBSH,0.3919415881406943
A,CBT,0.4563017804225644
A,CCI,0.3487083360543476
A,CE,0.4164102298248977
A,CFFN,0.3290761690531954
A,CIM,0.3712236227823294
A,CMI,0.3206532087646243
A,COO,0.3741440001748298
A,CPT,0.39129618836957863
A,CRL,0.5577864794051239
A,DCI,0.3797894879357511
A,DE,0.3508355148236641
A,DHR,0.6814869478188668
A,DOV,0.46334815108344085
A,DOW,0.3635901297963158
A,DOX,0.3382113208737617
A,DRI,0.3202703651396286
A,EBAY,0.36724785172471563
A,EFX,0.38240014690269997
A,ELS,0.33776962478368766
A,EMN,0.38615574618821
A,EQIX,0.33741224891691407
A,EQR,0.412197550037723
A,ESI,0.38702686726530144
A,ESS,0.4086479618890045
A,FITB,0.34579145360129776
A,FRT,0.38208192725754103
A,FULT,0.3696255711482802
A,GGG,0.3203735144406695
A,GLW,0.3189430052561697
A,GM,0.32142274777018864
A,GNTX,0.37209195991561705
A,GS,0.354154380903714
A,HBAN,0.3186077888393185
A,HCA,0.37275360834305554
A,HD,0.34198907786018334
A,HOG,0.36887928554259675
A,HON,0.3330780046373329
A,HUN,0.3610937154499585
A,ICE,0.36100441358127855
A,IEX,0.3812140543363776
A,ILMN,0.4533125392928854
A,INTU,0.3335337699454719
A,IPGP,0.3378490395365113
A,IPI,0.32518868633420034
A,IRM,0.38602197189300164
A,IVZ,0.342080640380591
A,JBHT,0.34721450111088514
A,JLL,0.3685465604309335
A,KAR,0.3695422595546848
A,KIM,0.36138740088459687
A,KRC,0.3416178757138402
A,KRO,0.35162983700999945
A,LAMR,0.36957292914139417
A,LEA,0.3857135660905871
A,LECO,0.36426073798014424
A,LH,0.43767171043604425
A,LSTR,0.3259626652229603
A,MAA,0.37942701039612453
A,MAC,0.41605954157172037
A,MAS,0.3847702553044267
A,MDT,0.32502728076391596
A,MFA,0.39239652133013825
A,MGM,0.32041596294902003
A,MHK,0.4122202145583076
A,MS,0.35657852311695726
A,MSCI,0.3337869346508082
A,MSM,0.33322703789465064
A,MTD,0.7654920655976774
A,NDSN,0.34225314625779546
A,NLY,0.4198391312015321
A,NNN,0.3205066772118084
A,NSC,0.3731060275346283
A,NTRS,0.3878969280251785
A,NVR,0.344265175752478
A,O,0.38933607830835293
A,OC,0.33333859352927936
A,OSK,0.35545702902601534
A,PDM,0.3679090626360869
A,PFG,0.35678242816006955
A,PII,0.3840568930798551
A,PLD,0.43702014741137174
A,PNC,0.3383588825592732
A,PNR,0.40561729374468175
A,PPG,0.38787555933640194
A,PSA,0.3180598482133981
A,QGEN,0.49012264747714696
A,REG,0.3494828553928253
A,RF,0.322616506512245
A,RGLD,0.3282900901687792
A,RJF,0.32853284772804897
A,RKT,0.3967641245189829
A,RPM,0.34631291597966724
A,RYN,0.33632880074465066
A,SBAC,0.417459222835575
A,SBH,0.3244517097788944
A,SEE,0.35278308946158066
A,SHW,0.4109633796346896
A,SKT,0.3399583578400342
A,SNV,0.3446089010947769
A,SPG,0.3691371496409046
A,SRCL,0.319622172925372
A,SWK,0.368165488365737
A,SWKS,0.3320795708009582
A,TEX,0.33203294046076404
A,TFSL,0.36446683752252773
A,TFX,0.3919409080962863
A,TKR,0.331400312758151
A,TMO,0.7219433679482906
A,TOL,0.31862327454527395
A,TRMB,0.36149704642079594
A,TRN,0.35953083794019436
A,TROW,0.35356508549348814
A,TTC,0.328919325571748
A,UA,0.3599986871238266
A,UDR,0.3738464139252216
A,UNP,0.34127323545057225
A,UPS,0.34837707986957783
A,USB,0.33052452338165367
A,WAFD,0.36439631803347095
A,WAT,0.8548540047733769
A,WLK,0.40874005065601204
A,WY,0.363337472527787
A,XRAY,0.37349802640678836
A,XYL,0.40967684410071087
A,ZBRA,0.3253552763103295
AA,AAP,0.3691238259576509
AA,ACM,0.42311694884014567
AA,ADI,0.5242792407786616
AA,ADSK,0.394541261427182
AA,AES,0.38194154107903755
AA,AGCO,0.5640233691253466
AA,AGNC,0.43746249944187926
AA,AIG,0.33177271961163884
AA,AIV,0.4264022398994601
AA,AL,0.4487650665263597
AA,ALB,0.5467813077597808
AA,ALEX,0.38966317252111443
AA,ALSN,0.40396446520722123
AA,AMCX,0.4452801740911519
AA,AME,0.32584731137175393
AA,AMG,0.3890622060154324
AA,AMP,0.4634624702306785
AA,AN,0.43574470740122767
AA,ANSS,0.32486499011217407
AA,APA,0.3946125496214456
AA,APD,0.39707391678126835
AA,APH,0.46875324309859157
AA,ARCC,0.34036128421797457
AA,ARE,0.4961072014231439
AA,ARW,0.37402610740898523
AA,ASH,0.3540734365694811
AA,ATI,0.4840297063439539
AA,AVB,0.4326000911235688
AA,AVT,0.3941598801843226
AA,AVY,0.42481460071402033
AA,AWAY,0.577251724942606
AA,AWI,0.33461820249401664
AA,AXP,0.4383724447311118
AA,BAC,0.587248523896889
AA,BBY,0.45473365380214753
AA,BDN,0.4955997064184899
AA,BEAM,0.35067075272536413
AA,BEN,0.6082245853429171
AA,BK,0.471797437744201
AA,BKU,0.4934516905857851
AA,BLK,0.4989960259317432
AA,BOH,0.4200601962841236
AA,BOKF,0.4376939213384056
AA,BPOP,0.4235623354240462
AA,BTU,0.3763401018601733
AA,BWA,0.40320881791585983
AA,BXP,0.5319397593258742
AA,C,0.5273249202952007
AA,CAT,0.5118384205149014
AA,CBSH,0.45702210212804084
AA,CBT,0.5327792887489706
AA,CCI,0.32497488839499006
AA,CCK,0.3828308166974035
AA,CCL,0.3771472562922684
AA,CE,0.6497098571458694
AA,CFFN,0.4583310129450125
AA,CFR,0.4372628297239944
AA,CHRW,0.32465211693915585
AA,CIM,0.4087496169851633
AA,CLF,0.49039804164939804
AA,CLH,0.3341049753871631
AA,CMA,0.5103817103215607
AA,CMC,0.38154776845794164
AA,CMI,0.4185103969658023
AA,CMP,0.43274897777353744
AA,CNH,0.5068192202412293
AA,CNX,0.37960203961772404
AA,COF,0.4904594684556148
AA,COP,0.36584120936952835
AA,CPA,0.40290844190383046
AA,CPT,0.4290576772846244
AA,CRI,0.38700466472431977
AA,CRL,0.3982078399483379
AA,CRS,0.3857945001628146
AA,CSL,0.4137114647601086
AA,CSX,0.3393067049442126
AA,CTSH,0.359921610940447
AA,CVX,0.3359015068110177
AA,CWH,0.4503998956082261
AA,CYH,0.32189697040816884
AA,DAL,0.42879863367423693
AA,DCI,0.448678787724496
AA,DD,0.44721590233612324
AA,DDS,0.4376108785302886
AA,DE,0.4818023960263049
AA,DEI,0.469542259721217
AA,DFS,0.38877516452803856
AA,DNB,0.410146647496961
AA,DOV,0.49076968451423314
AA,DOW,0.5616869775112995
AA,DVN,0.4437132183243949
AA,EAT,0.31824078464781963
AA,EBAY,0.3930175952173707
AA,EFX,0.4040316089469054
AA,EL,0.3359392913650805
AA,ELS,0.33782481051330376
AA,EMN,0.5421739323030442
AA,EMR,0.372006803741687
AA,ENR,0.40120123884006476
AA,EOG,0.36950870492071236
AA,EQR,0.42251100322188456
AA,EQT,0.37763911156621127
AA,ESI,0.5300762347687608
AA,ESS,0.47119011096694874
AA,EWBC,0.47946800507959386
AA,EXPD,0.36317745814614305
AA,EXR,0.43225709915098587
AA,F,0.3923026677344736
AA,FCX,0.6864161025497659
AA,FDX,0.3207402757745126
AA,FHN,0.3359935633554556
AA,FIS,0.3290360989169481
AA,FITB,0.541841180734073
AA,FLR,0.3963818286053322
AA,FLS,0.46600297475873237
AA,FMC,0.42303709587111277
AA,FNF,0.4256335543690953
AA,FOSL,0.36628488112607877
AA,FRT,0.4773762428367339
AA,FULT,0.4524178839450784
AA,G,0.3281730198670928
AA,GE,0.3415587259524301
AA,GEF,0.3883698248344864
AA,GGG,0.3736293979345561
AA,GLNG,0.3745194353915255
AA,GLW,0.43709310964885245
AA,GM,0.4216338274738164
AA,GNTX,0.41128843209099225
AA,GNW,0.34873202660662095
AA,GPC,0.39542126043749165
AA,GS,0.45485697249896584
AA,GT,0.35049622922280677
AA,H,0.3361528463635267
AA,HAL,0.43570491756410223
AA,HAS,0.35704507682397185
AA,HBAN,0.5433916224860532
AA,HBI,0.43949793354520483
AA,HD,0.43241993638491527
AA,HES,0.3386371563993794
AA,HLF,0.33626093258711887
AA,HOG,0.4564310727763071
AA,HON,0.4012447159523302
AA,HP,0.41224205615861026
AA,HPQ,0.42588205358078596
AA,HST,0.40976093818638587
AA,HTZ,0.46972125259126274
AA,HUN,0.5654859418300028
AA,IEX,0.4144304908314585
AA,IGT,0.3767124175863195
AA,ILMN,0.3632577045883904
AA,IP,0.34094173960398677
AA,IPG,0.36531041198700864
AA,IPGP,0.37060901831941745
AA,IPI,0.4831450311504479
AA,IR,0.43540166500689964
AA,IRM,0.3743409090270654
AA,ITT,0.46602130319027796
AA,ITW,0.4966260971609727
AA,IVZ,0.533941557763433
AA,JBHT,0.3920168537851409
AA,JBL,0.3664612540680806
AA,JCI,0.4275473994384351
AA,JLL,0.4974137907420265
AA,JOE,0.3288139320588578
AA,JPM,0.360460282642636
AA,JWN,0.3806911857593337
AA,KAR,0.3497159036009898
AA,KEX,0.3362623250940789
AA,KEY,0.5125681896584742
AA,KIM,0.4868026890392739
AA,KMI,0.4109775224828301
AA,KMT,0.5016232456025431
AA,KMX,0.35250063519933583
AA,KOS,0.41633449654293386
AA,KRC,0.5149237609599782
AA,KRO,0.5325468300022873
AA,KSS,0.42564294869008307
AA,LAMR,0.44889307015693836
AA,LAZ,0.3605862975302005
AA,LEA,0.48642854513370243
AA,LECO,0.43217977320614964
AA,LEG,0.455773431446165
AA,LEN,0.3857897717377982
AA,LKQ,0.4607738467419452
AA,LNC,0.5152701034975663
AA,LNG,0.3364519363470558
AA,LOW,0.4514830348781876
AA,LRCX,0.3241791504488164
AA,LSTR,0.4237665602075723
AA,LVS,0.33872809867645987
AA,LYB,0.4844649421758545
AA,M,0.3228475307692345
AA,MAA,0.3982019609858371
AA,MAC,0.4760008206286544
AA,MAN,0.4752477900023465
AA,MAR,0.3481788646163581
AA,MAS,0.4426010696797735
AA,MAT,0.3859226441747042
AA,MCHP,0.4551133849248629
AA,MDU,0.37507299935760324
AA,MET,0.4253034365820049
AA,MFA,0.4057458029474378
AA,MGM,0.3777285732028082
AA,MHK,0.5660622987478368
AA,MMM,0.37658873688750594
AA,MOS,0.42827404936691105
AA,MRC,0.44562003510897963
AA,MRVL,0.33159521742599773
AA,MS,0.5339808227800783
AA,MSM,0.35471695377832946
AA,MTD,0.3505799930773418
AA,MTW,0.4156382791733344
AA,MUR,0.4244349497245676
AA,NBR,0.4757373396459998
AA,NDSN,0.5030927277203245
AA,NEM,0.4135106675928957
AA,NFG,0.4297446226409791
AA,NLY,0.5088012768982307
AA,NNN,0.353605516741578
AA,NOV,0.43847202752045145
AA,NSC,0.3678123485316324
AA,NTRS,0.4665247511898191
